Name,Battery Energy,Availability,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Maker
BMW iX1 xDrive30,64.7 kWh useable battery,Available since November 2022,180 km/h,355 km,182 Wh/km,510 km/h,All Wheel Drive,5,"€55,000","£52,255",BMW
Volkswagen ID.4 Pro 4MOTION,77 kWh useable battery,Available since June 2022,180 km/h,405 km,190 Wh/km,510 km/h,All Wheel Drive,5,"€49,020",N/A,Volkswagen
Genesis G80 Electrified Luxury,82.5 kWh useable battery,Available since June 2022,225 km/h,440 km,188 Wh/km,880 km/h,All Wheel Drive,5,"€69,200","£69,805",Genesis
Dacia Spring Electric 45,25 kWh useable battery,Available since July 2022,125 km/h,165 km,152 Wh/km,180 km/h,Front Wheel Drive,4,"€22,550",N/A,Dacia
Citroen e-C4 X ,46.3 kWh useable battery,Available since November 2022,150 km/h,275 km,168 Wh/km,440 km/h,Front Wheel Drive,5,"€37,540",N/A,Citroen
MG MG4 Electric 51 kWh,50.8 kWh useable battery,Available since October 2022,160 km/h,300 km,169 Wh/km,340 km/h,Rear Wheel Drive,5,"€31,990","£25,995",MG
MG MG4 Electric 64 kWh,61.7 kWh useable battery,Available since October 2022,160 km/h,365 km,169 Wh/km,450 km/h,Rear Wheel Drive,5,"€35,990","£28,495",MG
Fisker Ocean Sport,75 kWh useable battery,Available since March 2023,160 km/h,380 km,197 Wh/km,480 km/h,Front Wheel Drive,5,"€41,560","£35,970",Fisker
Fisker Ocean Ultra,100 kWh useable battery,Available since March 2023,200 km/h,510 km,196 Wh/km,730 km/h,All Wheel Drive,5,"€57,000","£49,880",Fisker
Fisker Ocean Extreme,100 kWh useable battery,Available since March 2023,200 km/h,510 km,196 Wh/km,730 km/h,All Wheel Drive,5,"€69,950","£60,880",Fisker
Fisker Ocean One,100 kWh useable battery,Available since March 2023,200 km/h,510 km,196 Wh/km,730 km/h,All Wheel Drive,5,"€69,950","£60,880",Fisker
Mercedes EQE 300,89 kWh useable battery,Available since July 2022,210 km/h,515 km,173 Wh/km,650 km/h,Rear Wheel Drive,5,"€66,402","£74,345",Mercedes
Mercedes EQE 350,89 kWh useable battery,Available since July 2022,210 km/h,515 km,173 Wh/km,650 km/h,Rear Wheel Drive,5,"€70,210","£77,345",Mercedes
Mercedes EQE 350 4MATIC,90.6 kWh useable battery,Available since July 2022,210 km/h,500 km,181 Wh/km,750 km/h,All Wheel Drive,5,"€73,363",N/A,Mercedes
Mercedes EQE 500 4MATIC,90.6 kWh useable battery,Available since July 2022,210 km/h,500 km,181 Wh/km,750 km/h,All Wheel Drive,5,"€87,286",N/A,Mercedes
Hyundai IONIQ 6 Standard Range 2WD,54 kWh useable battery,Available since January 2023,185 km/h,360 km,150 Wh/km,880 km/h,Rear Wheel Drive,5,"€43,900",N/A,Hyundai
Hyundai IONIQ 6 Long Range 2WD,74 kWh useable battery,Available since December 2022,185 km/h,475 km,156 Wh/km,1240 km/h,Rear Wheel Drive,5,"€54,000","£46,745",Hyundai
Hyundai IONIQ 6 Long Range AWD,74 kWh useable battery,Available since November 2022,185 km/h,440 km,168 Wh/km,1150 km/h,All Wheel Drive,5,"€61,100","£50,245",Hyundai
Audi Q4 Sportback e-tron 45 quattro,76.6 kWh useable battery,Available since July 2022,180 km/h,400 km,192 Wh/km,500 km/h,All Wheel Drive,5,"€55,900",N/A,Audi
Fiat E-Ulysse L2 50 kWh,46.3 kWh useable battery,Available since June 2022,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,7,"€55,990",N/A,Fiat
Fiat E-Ulysse L2 75 kWh,68 kWh useable battery,Available since June 2022,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€61,990",N/A,Fiat
Fiat E-Ulysse L3 50 kWh,46.3 kWh useable battery,Available since June 2022,130 km/h,180 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€56,990",N/A,Fiat
Fiat E-Ulysse L3 75 kWh,68 kWh useable battery,Available since June 2022,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,7,"€62,990",N/A,Fiat
Genesis GV70 Electrified Sport,74 kWh useable battery,Available since October 2022,235 km/h,350 km,211 Wh/km,860 km/h,All Wheel Drive,5,"€67,300","£64,405",Genesis
Fiat 500e 3+1 24 kWh,21.3 kWh useable battery,Available since July 2022,135 km/h,135 km,158 Wh/km,230 km/h,Front Wheel Drive,4,N/A,N/A,Fiat
Fiat 500e Cabrio 24 kWh,21.3 kWh useable battery,Available since July 2022,135 km/h,135 km,158 Wh/km,230 km/h,Front Wheel Drive,4,"€35,490",N/A,Fiat
Tesla Model Y ,57.5 kWh useable battery,Available since November 2022,217 km/h,345 km,167 Wh/km,580 km/h,Rear Wheel Drive,5,"€47,567","£44,990",Tesla
